"Customer.ID","Gender","Age","Married","Number.of.Dependents","City","Zip.Code","Number.of.Referrals","Tenure.in.Months","Offer","Phone.Service","Avg.Monthly.Long.Distance.Charges","Multiple.Lines","Internet.Service","Internet.Type","Avg.Monthly.GB.Download","Online.Security","Online.Backup","Device.Protection.Plan","Premium.Tech.Support","Streaming.TV","Streaming.Movies","Streaming.Music","Unlimited.Data","Contract","Paperless.Billing","Payment.Method","Monthly.Charge","Total.Charges","Total.Refunds","Total.Extra.Data.Charges","Total.Long.Distance.Charges","Total.Revenue","Customer.Status","Churn.Category","Churn.Reason","Tenure_Category","Age_Category","Service_Category"
"0017-DINOC","Male",47,"No",0,"Rancho Santa Fe",92091,0,54,"None","No",NA,"","Yes","Cable",10,"Yes","No","No","Yes","Yes","No","No","Yes","Two Year","No","Credit Card",45.2,2460.55,0,0,0,2460.55,"Stayed","","","Junior","Adulto","Minimum Services"
"0017-IUDMW","Female",25,"Yes",2,"Sunnyvale",94086,2,72,"None","Yes",16.01,"Yes","Yes","Fiber Optic",59,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Credit Card",116.8,8456.75,0,0,1152.72,9609.47,"Stayed","","","Junior","Joven","All Included"
"0018-NYROU","Female",58,"Yes",0,"Antelope",95843,0,5,"None","Yes",18.65,"No","Yes","Fiber Optic",10,"No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",68.95,351.5,0,0,93.25,444.75,"Stayed","","","Junior","Adulto","Services with Improvements"
"0019-EFAEP","Female",32,"No",0,"La Mesa",91942,0,72,"Offer A","Yes",2.25,"Yes","Yes","Fiber Optic",16,"Yes","Yes","Yes","No","Yes","No","No","Yes","Two Year","Yes","Bank Withdrawal",101.3,7261.25,0,0,162,7423.25,"Stayed","","","Junior","Adulto","All Included"
"0019-GFNTW","Female",39,"No",0,"Los Olivos",93441,0,56,"None","No",NA,"","Yes","DSL",19,"Yes","Yes","Yes","Yes","No","No","No","Yes","Two Year","No","Bank Withdrawal",45.05,2560.1,0,0,0,2560.1,"Stayed","","","Junior","Adulto","Minimum Services"
"0020-INWCK","Female",58,"Yes",2,"Woodlake",93286,9,71,"Offer A","Yes",27.26,"Yes","Yes","Fiber Optic",12,"No","Yes","Yes","No","No","Yes","Yes","Yes","Two Year","Yes","Credit Card",95.75,6849.4,0,0,1935.46,8784.86,"Stayed","","","Junior","Adulto","All Included"
"0020-JDNXP","Female",52,"Yes",1,"Point Reyes Station",94956,0,34,"None","No",NA,"","Yes","DSL",20,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","One Year","No","Credit Card",61.25,1993.2,0,0,0,1993.2,"Stayed","","","Junior","Adulto","Services with Improvements"
"0021-IKXGC","Female",72,"No",0,"San Marcos",92078,0,1,"Offer E","Yes",7.77,"Yes","Yes","Fiber Optic",22,"No","No","No","No","No","No","No","Yes","One Year","Yes","Bank Withdrawal",72.1,72.1,0,0,7.77,79.87,"Joined","","","Junior","Anciano","Services with Improvements"
"0022-TCJCI","Male",79,"No",0,"Daly City",94015,0,45,"None","Yes",10.67,"No","Yes","DSL",17,"Yes","No","Yes","No","No","Yes","No","Yes","One Year","No","Credit Card",62.7,2791.5,0,0,480.15,3271.65,"Churned","Dissatisfaction","Limited range of services","Junior","Anciano","Services with Improvements"
"0023-HGHWL","Male",67,"No",0,"Morgan Hill",95037,0,1,"None","No",NA,"","Yes","Cable",9,"No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",25.1,25.1,0,0,0,25.1,"Churned","Competitor","Competitor made better offer","Junior","Anciano","Minimum Services"
"0023-XUOPT","Female",26,"Yes",0,"Carnelian Bay",96140,1,13,"None","Yes",43.56,"Yes","Yes","Fiber Optic",52,"No","Yes","Yes","No","Yes","No","No","Yes","Month-to-Month","No","Bank Withdrawal",94.1,1215.6,0,0,566.28,1781.88,"Churned","Other","Don't know","Junior","Joven","Enhanced Services"
"0027-KWYKW","Female",30,"Yes",2,"Alpaugh",93201,1,23,"Offer D","Yes",34.91,"Yes","Yes","Fiber Optic",30,"No","No","No","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",83.75,1849.95,0,0,802.93,2652.88,"Stayed","","","Junior","Joven","Enhanced Services"
"0032-PGELS","Female",37,"Yes",1,"Palomar Mountain",92060,1,1,"None","No",NA,"","Yes","DSL",19,"Yes","No","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal",30.5,30.5,0,0,0,30.5,"Churned","Attitude","Attitude of service provider","Junior","Adulto","Minimum Services"
"0036-IHMOT","Female",37,"Yes",3,"Parlier",93648,10,55,"None","Yes",35.04,"No","Yes","Fiber Optic",57,"No","Yes","Yes","Yes","Yes","Yes","Yes","No","One Year","Yes","Bank Withdrawal",103.7,5656.75,0,20,1927.2,7603.95,"Stayed","","","Junior","Adulto","All Included"
"0048-LUMLS","Male",23,"Yes",3,"Moss Beach",94038,1,37,"Offer C","Yes",43.01,"No","Yes","Fiber Optic",51,"No","No","No","No","Yes","Yes","Yes","Yes","One Year","No","Credit Card",91.2,3247.55,0,0,1591.37,4838.92,"Stayed","","","Junior","Joven","Enhanced Services"
"0052-DCKON","Male",28,"Yes",0,"Los Angeles",90063,9,66,"None","Yes",43.77,"Yes","Yes","Fiber Optic",41,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","One Year","No","Bank Withdrawal",-2,7942.15,0,0,2888.82,10830.97,"Stayed","","","Junior","Joven",NA
"0056-EPFBG","Male",33,"Yes",1,"Redding",96003,4,20,"None","No",NA,"","Yes","Cable",22,"Yes","No","Yes","Yes","No","No","No","Yes","Two Year","Yes","Credit Card",39.4,825.4,0,0,0,825.4,"Stayed","","","Junior","Adulto","Minimum Services"
"0058-EVZWM","Female",37,"Yes",0,"Stockton",95209,2,55,"Offer B","Yes",5.08,"Yes","Yes","Fiber Optic",9,"Yes","No","No","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",89.8,4959.6,0,0,279.4,5239,"Stayed","","","Junior","Adulto","Enhanced Services"
"0060-FUALY","Female",60,"Yes",0,"Los Angeles",90003,4,59,"Offer B","Yes",16.39,"Yes","Yes","Fiber Optic",14,"Yes","Yes","No","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",94.75,5597.65,0,0,967.01,6564.66,"Stayed","","","Junior","Adulto","Enhanced Services"
"0064-YIJGF","Male",60,"Yes",3,"Yermo",92398,7,27,"Offer C","Yes",25.26,"Yes","Yes","Fiber Optic",23,"No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",75.75,1929,0,0,682.02,2611.02,"Stayed","","","Junior","Adulto","Services with Improvements"
"0067-DKWBL","Male",69,"No",0,"San Diego",92129,0,2,"None","Yes",43.99,"No","Yes","DSL",27,"Yes","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",49.25,91.1,0,0,87.98,179.08,"Churned","Competitor","Competitor made better offer","Junior","Anciano","Minimum Services"
"0068-FIGTF","Female",20,"No",0,"Fremont",94539,0,27,"Offer C","Yes",48.91,"No","Yes","DSL",59,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","One Year","No","Credit Card",78.2,2078.95,0,0,1320.57,3399.52,"Stayed","","","Junior","Joven","Enhanced Services"
"0074-HDKDG","Male",46,"Yes",0,"San Jose",95126,5,25,"None","Yes",6.45,"No","Yes","Cable",19,"Yes","Yes","Yes","No","No","No","No","Yes","One Year","Yes","Bank Withdrawal",61.6,1611,44.9,0,161.25,1727.35,"Stayed","","","Junior","Adulto","Services with Improvements"
"0076-LVEPS","Male",57,"No",1,"Tujunga",91042,0,29,"None","No",NA,"","Yes","DSL",21,"Yes","Yes","Yes","Yes","No","No","No","Yes","Month-to-Month","Yes","Credit Card",45,1242.45,12.26,0,0,1230.19,"Stayed","","","Junior","Adulto","Minimum Services"
"0078-XZMHT","Male",19,"Yes",0,"Visalia",93291,5,72,"None","Yes",32.36,"Yes","Yes","DSL",52,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal",85.15,6316.2,0,0,2329.92,8646.12,"Stayed","","","Junior","Joven","Enhanced Services"
"0080-EMYVY","Female",64,"No",0,"Lodi",95240,0,14,"None","Yes",24.04,"No","Yes","Cable",12,"No","Yes","No","No","No","No","No","Yes","One Year","No","Credit Card",51.45,727.85,0,0,336.56,1064.41,"Stayed","","","Junior","Anciano","Minimum Services"
"0080-OROZO","Female",38,"No",0,"El Portal",95318,0,35,"Offer C","Yes",36.42,"No","Yes","Fiber Optic",2,"No","No","Yes","Yes","Yes","Yes","Yes","Yes","One Year","Yes","Bank Withdrawal",99.25,3532,0,0,1274.7,4806.7,"Stayed","","","Junior","Adulto","All Included"
"0082-LDZUE","Male",54,"No",0,"Calistoga",94515,0,1,"Offer E","Yes",42.95,"No","Yes","DSL",9,"No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Credit Card",44.3,44.3,0,0,42.95,87.25,"Joined","","","Junior","Adulto","Minimum Services"
"0082-OQIQY","Male",50,"No",0,"Farmington",95230,0,29,"None","Yes",2.05,"No","Yes","Fiber Optic",17,"No","No","No","Yes","Yes","Yes","Yes","No","Month-to-Month","Yes","Bank Withdrawal",94.2,2607.6,0,20,59.45,2687.05,"Stayed","","","Junior","Adulto","Enhanced Services"
"0083-PIVIK","Male",25,"No",0,"Tulelake",96134,0,64,"None","Yes",5.49,"Yes","Yes","DSL",69,"Yes","Yes","Yes","Yes","Yes","No","No","No","One Year","No","Bank Withdrawal",81.25,5567.55,0,40,351.36,5958.91,"Stayed","","","Junior","Joven","Enhanced Services"
"0089-IIQKO","Female",35,"Yes",3,"Coleville",96107,1,39,"None","Yes",24.38,"Yes","Yes","Fiber Optic",53,"No","No","No","Yes","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Credit Card",99.95,3767.4,0,0,950.82,4718.22,"Stayed","","","Junior","Adulto","All Included"
"0093-EXYQL","Female",72,"No",0,"Ojai",93023,0,40,"None","Yes",44.14,"No","Yes","Fiber Optic",23,"No","No","No","No","Yes","Yes","No","Yes","Two Year","Yes","Bank Withdrawal",91.55,3673.6,0,0,1765.6,5439.2,"Stayed","","","Junior","Anciano","Enhanced Services"
"0093-XWZFY","Male",51,"No",0,"Desert Hot Springs",92241,0,40,"None","Yes",37.69,"Yes","Yes","Fiber Optic",15,"No","Yes","Yes","No","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Credit Card",104.5,4036.85,0,0,1507.6,5544.45,"Churned","Competitor","Competitor had better devices","Junior","Adulto","All Included"
"0094-OIFMO","Female",78,"No",1,"North Hollywood",91605,0,11,"Offer D","Yes",11.59,"No","Yes","Fiber Optic",29,"No","Yes","No","No","Yes","Yes","No","No","Month-to-Month","Yes","Bank Withdrawal",95,1120.3,0,120,127.49,1367.79,"Churned","Dissatisfaction","Product dissatisfaction","Junior","Anciano","Enhanced Services"
"0096-BXERS","Female",30,"Yes",0,"Inverness",94937,10,6,"Offer E","Yes",42.66,"Yes","Yes","Cable",85,"No","No","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal",50.35,314.55,0,0,255.96,570.51,"Stayed","","","Junior","Joven","Minimum Services"
"0096-FCPUF","Male",58,"No",0,"Santa Rosa",95404,0,30,"None","Yes",2.64,"Yes","Yes","DSL",15,"Yes","No","No","No","No","Yes","Yes","Yes","Month-to-Month","Yes","Mailed Check",64.5,1888.45,0,0,79.2,1967.65,"Stayed","","","Junior","Adulto","Services with Improvements"
"0100-DUVFC","Male",66,"Yes",0,"Wilmington",90744,3,70,"None","Yes",39.49,"Yes","Yes","Fiber Optic",28,"No","Yes","Yes","No","Yes","Yes","No","Yes","One Year","Yes","Bank Withdrawal",104.8,7308.95,6.11,0,2764.3,10067.14,"Stayed","","","Junior","Anciano","All Included"
"0103-CSITQ","Female",20,"Yes",0,"Modesto",95357,10,57,"Offer B","Yes",8.01,"Yes","Yes","Fiber Optic",73,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","One Year","Yes","Bank Withdrawal",109.4,6252.7,0,0,456.57,6709.27,"Stayed","","","Junior","Joven","All Included"
"0104-PPXDV","Male",61,"Yes",0,"San Diego",92113,10,58,"None","Yes",18.37,"No","Yes","DSL",18,"No","No","Yes","No","No","No","No","Yes","One Year","No","Credit Card",50.3,2878.55,10.23,0,1065.46,3933.78,"Stayed","","","Junior","Anciano","Minimum Services"
"0106-GHRQR","Male",24,"No",0,"Rancho Palos Verdes",90275,0,16,"None","Yes",25.71,"Yes","Yes","DSL",48,"No","Yes","Yes","No","No","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal",71.4,1212.1,0,0,411.36,1623.46,"Stayed","","","Junior","Joven","Services with Improvements"
"0106-UGRDO","Female",55,"Yes",0,"Kenwood",95452,3,69,"Offer A","Yes",38.52,"Yes","Yes","Fiber Optic",27,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal",116,8182.85,0,0,2657.88,10840.73,"Stayed","","","Junior","Adulto","All Included"
"0107-YHINA","Male",59,"No",0,"Los Angeles",90062,0,1,"None","Yes",40.71,"Yes","Yes","Fiber Optic",25,"No","No","Yes","No","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal",99.75,99.75,0,0,40.71,140.46,"Churned","Competitor","Competitor had better devices","Junior","Adulto","All Included"
"0111-KLBQG","Male",71,"Yes",1,"Morongo Valley",92256,9,32,"Offer C","Yes",31.86,"No","Yes","Fiber Optic",23,"No","Yes","No","No","Yes","Yes","Yes","Yes","One Year","Yes","Mailed Check",93.95,2861.45,0,0,1019.52,3880.97,"Stayed","","","Junior","Anciano","Enhanced Services"
"0112-QAWRZ","Male",49,"Yes",2,"Palo Verde",92266,8,16,"Offer D","Yes",48.71,"Yes","Yes","Fiber Optic",12,"No","No","Yes","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",90.8,1442.2,0,0,779.36,2221.56,"Stayed","","","Junior","Adulto","Enhanced Services"
"0112-QWPNC","Male",61,"Yes",0,"Valyermo",93563,1,49,"Offer B","Yes",39.55,"Yes","Yes","Cable",10,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","One Year","No","Bank Withdrawal",84.35,4059.35,0,0,1937.95,5997.3,"Churned","Competitor","Competitor offered higher download speeds","Junior","Anciano","Enhanced Services"
"0114-IGABW","Female",40,"Yes",0,"Cambria",93428,2,71,"Offer A","No",NA,"","Yes","Cable",29,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","No","Bank Withdrawal",58.25,4145.9,0,0,0,4145.9,"Stayed","","","Junior","Adulto","Services with Improvements"
"0114-PEGZZ","Female",39,"No",0,"Round Mountain",96084,0,33,"None","Yes",49.69,"Yes","Yes","Fiber Optic",12,"No","Yes","Yes","No","Yes","Yes","Yes","Yes","Month-to-Month","No","Bank Withdrawal",107.55,3645.5,0,0,1639.77,5285.27,"Stayed","","","Junior","Adulto","All Included"
"0115-TFERT","Male",24,"Yes",0,"Fresno",93650,1,21,"None","Yes",36.26,"Yes","Yes","Fiber Optic",59,"No","Yes","Yes","Yes","Yes","Yes","Yes","No","Month-to-Month","Yes","Bank Withdrawal",111.2,2317.1,0,120,761.46,3198.56,"Churned","Attitude","Attitude of service provider","Junior","Joven","All Included"
"0117-LFRMW","Male",52,"Yes",1,"Angwin",94508,1,37,"None","No",NA,"","Yes","DSL",23,"Yes","Yes","Yes","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal",40.2,1448.8,0,0,0,1448.8,"Churned","Competitor","Competitor offered more data","Junior","Adulto","Minimum Services"
"0118-JPNOY","Female",71,"No",0,"Le Grand",95333,0,26,"None","Yes",33.74,"No","Yes","Fiber Optic",7,"Yes","No","No","No","Yes","No","No","Yes","Month-to-Month","Yes","Credit Card",85.8,2193.65,0,0,877.24,3070.89,"Stayed","","","Junior","Anciano","Enhanced Services"
"0121-SNYRK","Male",45,"No",0,"Redway",95560,0,50,"Offer B","No",NA,"","Yes","DSL",7,"Yes","No","No","Yes","No","No","No","Yes","One Year","Yes","Credit Card",35.4,1748.9,0,0,0,1748.9,"Stayed","","","Junior","Adulto","Minimum Services"
"0122-OAHPZ","Female",29,"No",0,"San Diego",92122,0,7,"None","Yes",28.62,"Yes","Yes","Fiber Optic",26,"No","No","No","No","No","No","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal",73.85,511.25,13.03,0,200.34,698.56,"Churned","Competitor","Competitor made better offer","Junior","Joven","Services with Improvements"
"0123-CRBRT","Female",62,"Yes",0,"Monterey Park",91755,1,61,"Offer B","Yes",47.19,"Yes","Yes","DSL",28,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","No","Mailed Check",88.1,5526.75,0,0,2878.59,8405.34,"Stayed","","","Junior","Anciano","Enhanced Services"
"0125-LZQXK","Male",42,"No",0,"Big Oak Flat",95305,0,15,"Offer D","Yes",45.92,"No","Yes","Fiber Optic",12,"No","No","Yes","Yes","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal",101.35,1553.95,0,0,688.8,2242.75,"Churned","Attitude","Attitude of service provider","Junior","Adulto","All Included"
"0128-MKWSG","Female",51,"No",2,"Stevenson Ranch",91381,0,26,"None","No",NA,"","Yes","DSL",19,"Yes","No","No","Yes","No","Yes","Yes","Yes","Month-to-Month","No","Credit Card",45.8,1147,0,0,0,1147,"Stayed","","","Junior","Adulto","Minimum Services"
"0129-KPTWJ","Male",39,"Yes",0,"North Highlands",95660,9,72,"None","Yes",33.22,"No","Yes","Fiber Optic",23,"No","No","Yes","No","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal",94.65,6747.35,0,0,2391.84,9139.19,"Stayed","","","Junior","Adulto","Enhanced Services"
"0130-SXOUN","Male",55,"No",0,"Glenhaven",95443,0,66,"Offer A","Yes",48.78,"Yes","Yes","Fiber Optic",8,"No","Yes","No","No","No","Yes","Yes","No","Month-to-Month","No","Credit Card",89.4,5976.9,36.02,40,3219.48,9200.36,"Stayed","","","Junior","Adulto","Enhanced Services"
"0133-BMFZO","Female",40,"No",0,"Alhambra",91803,0,2,"None","Yes",36.81,"No","Yes","Fiber Optic",16,"Yes","Yes","No","Yes","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",86.25,181.65,0,0,73.62,255.27,"Churned","Competitor","Competitor offered higher download speeds","Junior","Adulto","Enhanced Services"
"0134-XWXCE","Female",76,"No",0,"Santa Monica",90403,0,44,"None","Yes",7.72,"No","Yes","DSL",17,"No","No","Yes","Yes","Yes","Yes","Yes","Yes","One Year","No","Bank Withdrawal",74.85,3268.05,17.91,0,339.68,3589.82,"Stayed","","","Junior","Anciano","Services with Improvements"
"0135-NMXAP","Female",57,"No",0,"Lodi",95240,0,12,"Offer D","Yes",14.38,"Yes","Yes","Fiber Optic",6,"No","Yes","No","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",89.75,1052.4,0,0,172.56,1224.96,"Churned","Attitude","Attitude of support person","Junior","Adulto","Enhanced Services"
"0136-IFMYD","Male",71,"Yes",0,"Los Angeles",90001,1,69,"None","Yes",18.41,"Yes","Yes","Fiber Optic",17,"No","Yes","Yes","Yes","Yes","Yes","No","Yes","Two Year","Yes","Bank Withdrawal",109.95,7634.25,0,0,1270.29,8904.54,"Stayed","","","Junior","Anciano","All Included"
"0137-OCGAB","Female",25,"No",0,"Fairfield",94533,0,1,"Offer E","Yes",1.23,"Yes","Yes","Fiber Optic",69,"No","Yes","No","No","No","No","No","Yes","Month-to-Month","Yes","Mailed Check",80.2,80.2,0,0,1.23,81.43,"Churned","Price","Lack of affordable download/upload speed","Junior","Joven","Enhanced Services"
"0139-IVFJG","Female",19,"Yes",0,"Temecula",92592,10,2,"None","Yes",4.65,"No","Yes","Fiber Optic",53,"Yes","Yes","No","No","Yes","No","No","Yes","Month-to-Month","No","Bank Withdrawal",90.35,190.5,0,0,9.3,199.8,"Joined","","","Junior","Joven","Enhanced Services"
"0141-YEAYS","Female",77,"No",0,"Fallbrook",92028,0,27,"None","Yes",2.97,"Yes","Yes","Fiber Optic",4,"No","Yes","Yes","No","No","No","No","Yes","Two Year","Yes","Bank Withdrawal",86.45,2401.05,0,0,80.19,2481.24,"Stayed","","","Junior","Anciano","Enhanced Services"
"0147-ESWWR","Female",73,"Yes",0,"Atascadero",93422,9,39,"None","Yes",20.15,"Yes","Yes","Fiber Optic",21,"No","No","No","Yes","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal",101.25,3949.15,0,0,785.85,4735,"Stayed","","","Junior","Anciano","All Included"
"0148-DCDOS","Male",41,"No",0,"Planada",95365,0,25,"None","Yes",34.88,"Yes","Yes","Fiber Optic",8,"No","No","No","No","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal",94.7,2362.1,0,0,872,3234.1,"Churned","Competitor","Competitor had better devices","Junior","Adulto","Enhanced Services"
"0151-ONTOV","Female",43,"No",0,"Moorpark",93021,0,1,"Offer E","Yes",39.81,"No","Yes","Fiber Optic",23,"No","No","No","No","No","No","No","Yes","Month-to-Month","No","Mailed Check",70.9,70.9,0,0,39.81,110.71,"Churned","Competitor","Competitor had better devices","Junior","Adulto","Services with Improvements"
"0156-FVPTA","Male",48,"Yes",0,"Solvang",93463,1,22,"Offer D","Yes",27.24,"No","Yes","DSL",21,"Yes","No","No","Yes","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",54.2,1152.7,0,0,599.28,1751.98,"Churned","Attitude","Attitude of service provider","Junior","Adulto","Minimum Services"
"0164-APGRB","Female",56,"No",0,"Calistoga",94515,0,72,"Offer A","Yes",48.37,"Yes","Yes","Fiber Optic",5,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal",114.9,8496.7,0,0,3482.64,11979.34,"Stayed","","","Junior","Adulto","All Included"
"0168-XZKBB","Female",34,"Yes",0,"Boron",93516,8,19,"None","Yes",7.84,"Yes","Yes","Fiber Optic",16,"No","No","No","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",86.85,1564.4,0,0,148.96,1713.36,"Stayed","","","Junior","Adulto","Enhanced Services"
"0177-PXBAT","Male",78,"Yes",0,"Desert Center",92239,7,33,"None","Yes",25.15,"Yes","Yes","Fiber Optic",20,"Yes","No","Yes","Yes","Yes","Yes","No","Yes","One Year","Yes","Bank Withdrawal",109.9,3694.7,0,0,829.95,4524.65,"Stayed","","","Junior","Anciano","All Included"
"0178-SZBHO","Male",54,"Yes",1,"Tuolumne",95379,7,47,"None","Yes",1.09,"Yes","Yes","Fiber Optic",13,"No","Yes","No","No","Yes","No","No","Yes","Month-to-Month","No","Bank Withdrawal",87.2,4017.45,0,0,51.23,4068.68,"Stayed","","","Junior","Adulto","Enhanced Services"
"0181-RITDD","Male",42,"Yes",3,"San Diego",92120,2,62,"None","Yes",1.76,"No","Yes","Fiber Optic",20,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","No","Credit Card",108.15,6825.65,0,0,109.12,6934.77,"Stayed","","","Junior","Adulto","All Included"
"0186-CAERR","Male",22,"No",0,"Auburn",95603,0,71,"None","Yes",2.88,"Yes","Yes","Fiber Optic",48,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","One Year","Yes","Bank Withdrawal",116.3,8309.55,0,0,204.48,8514.03,"Stayed","","","Junior","Joven","All Included"
"0187-QSXOE","Male",71,"Yes",0,"Fresno",93725,8,7,"None","Yes",41.97,"No","Yes","Fiber Optic",11,"No","No","No","No","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal",89,605.45,0,0,293.79,899.24,"Stayed","","","Junior","Anciano","Enhanced Services"
